date,city,temperature (C)
2023-12-22,Phoenix,37.2
2023-03-07,,29.2
2023-12-09,Austin,17.0
2023-12-13,Seattle,4.1
2023-10-19,New York,27.0
2023-12-16,,9.2
2023-01-12,Austin,37.8
2023-01-12,,
2023-04-03,Phoenix,
2023-11-11,Seattle,35.6
2023-03-12,Seattle,15.6
2023-06-15,Seattle,26.5
2023-02-21,,1.7
2023-06-17,Phoenix,11.4
2023-01-13,New York,24.9
2023-01-24,Austin,4.5
2023-08-21,San Diego,36.8
2023-09-07,New York,33.2
2023-06-20,Phoenix,19.8
2023-11-30,San Diego,12.1
2023-10-31,Seattle,23.5
2023-02-07,Austin,21.4
2023-08-27,Seattle,0.2
2023-07-11,,28.8
2023-03-13,,22.1
2023-03-27,Austin,
2023-01-16,Phoenix,35.5
2023-02-07,Austin,10.8
2023-02-14,Phoenix,36.3
2023-12-25,New York,
2023-07-21,New York,7.8
,Phoenix,21.2
2023-08-23,Seattle,
,Seattle,10.7
2023-06-19,New York,24.4
2023-09-15,Austin,20.3
2023-11-11,Phoenix,24.7
2023-05-29,Seattle,0.2
2023-08-31,Austin,28.4
2023-05-16,New York,34.2
2023-07-04,Austin,5.8
2023-10-11,Austin,15.3
2023-04-20,New York,26.8
2023-07-02,,28.4
2023-01-01,Phoenix,31.7
2023-12-12,San Diego,7.3
2023-06-18,Seattle,23.4
2023-09-11,Austin,37.3
2023-12-07,Austin,
2023-03-07,Austin,
,New York,
2023-02-04,New York,30.9
2023-01-13,San Diego,25.4
,New York,9.0
2023-02-14,Austin,17.1
2023-10-06,Seattle,32.5
2023-01-23,Seattle,30.5
2023-01-20,San Diego,35.8
2023-09-15,New York,12.2
2023-02-16,Phoenix,31.2
2023-02-09,Seattle,5.1
2023-06-18,New York,26.8
2023-11-15,Seattle,4.3
2023-11-23,Seattle,
2023-02-02,San Diego,5.2
2023-03-01,Seattle,
2023-07-20,New York,39.6
2023-10-21,New York,2.0
2023-05-27,Seattle,18.3
2023-01-12,San Diego,
2023-11-27,Seattle,3.3
2023-03-06,Phoenix,32.2
2023-11-16,Phoenix,8.4
,Seattle,27.6
2023-10-13,,16.5
2023-08-14,Seattle,
2023-03-29,Seattle,5.6
,Seattle,25.3
2023-12-05,New York,6.2
2023-08-16,New York,5.6
2023-02-16,San Diego,11.1
2023-04-27,Austin,29.4
2023-04-04,Phoenix,23.8
2023-04-20,Phoenix,21.2
2023-11-08,Seattle,5.5
,,15.2
2023-03-27,Seattle,23.0
2023-11-29,,17.2
2023-01-05,New York,15.5
,Austin,1.1
2023-01-06,Seattle,37.6
2023-06-18,New York,33.2
,Phoenix,15.8
,Phoenix,19.3
2023-04-21,New York,19.2
2023-11-21,San Diego,11.7
2023-11-05,New York,19.3
2023-10-06,Seattle,
2023-01-02,Phoenix,4.1
2023-01-29,Seattle,31.2
2023-09-25,,34.3
2023-12-06,Phoenix,14.6
2023-09-01,San Diego,33.3
2023-03-08,Austin,40.0
2023-06-16,Austin,3.8
,Seattle,12.3
2023-09-14,Austin,39.9
2023-09-28,Austin,
2023-05-07,Seattle,11.3
2023-02-07,San Diego,15.8
2023-02-19,,8.1
2023-11-01,Austin,17.8
,Austin,21.9
2023-07-24,Phoenix,7.0
2023-03-07,Phoenix,
2023-04-12,Seattle,9.4
2023-01-09,,4.9
2023-04-28,Phoenix,7.7
2023-06-26,San Diego,12.3
2023-04-01,Phoenix,38.9
2023-01-16,Austin,21.4
2023-03-28,San Diego,34.1
2023-11-06,New York,28.9
2023-08-17,Seattle,11.0
2023-06-05,Seattle,0.6
2023-06-01,Phoenix,19.3
2023-10-13,Phoenix,
,Seattle,10.7
2023-06-16,San Diego,27.5
2023-11-04,Seattle,24.7
2023-06-10,Austin,22.1
2023-12-04,Austin,34.7
2023-05-23,Seattle,
,Seattle,14.3
2023-12-05,San Diego,5.7
2023-09-08,Seattle,19.0
2023-06-17,San Diego,20.6
2023-08-19,New York,35.3
2023-04-11,New York,37.2
2023-05-05,Phoenix,
2023-05-07,New York,
2023-08-04,San Diego,7.3
2023-04-09,New York,38.3
2023-01-31,New York,8.5
2023-10-07,,39.0
2023-01-01,New York,9.0
2023-07-31,Seattle,17.7
2023-07-30,New York,20.4
2023-07-26,San Diego,16.9
2023-04-09,Seattle,26.6
2023-04-11,Seattle,7.9
2023-11-04,San Diego,28.0
,Seattle,8.9
2023-12-17,Austin,39.7
2023-02-23,Austin,1.3
2023-12-22,Phoenix,22.8
2023-06-30,New York,
2023-04-12,Phoenix,28.3
2023-11-18,,7.4
2023-04-19,New York,11.4
,Seattle,16.0
2023-06-27,Seattle,21.2
2023-06-10,San Diego,34.5
2023-11-08,,19.4
2023-02-28,Seattle,3.5
2023-06-25,Seattle,26.0
2023-08-07,New York,8.4
2023-11-04,Austin,9.0
2023-01-01,New York,39.2
2023-10-13,New York,10.5
2023-11-14,Austin,26.0
2023-02-19,New York,17.8
2023-11-13,Phoenix,15.8
2023-11-05,Austin,16.0
2023-01-29,Phoenix,30.0
2023-01-26,Phoenix,
2023-10-01,San Diego,
2023-11-10,San Diego,14.4
,,22.6
2023-01-06,Seattle,34.3
2023-03-17,,10.3
2023-07-14,Phoenix,12.3
2023-06-25,San Diego,32.8
2023-11-07,New York,38.2
2023-09-30,Austin,39.2
2023-10-03,New York,16.5
2023-06-09,San Diego,30.1
2023-07-12,New York,36.6
2023-02-21,New York,
2023-11-20,Austin,15.1
2023-04-05,Phoenix,21.3
2023-03-01,New York,
2023-03-02,Austin,
2023-07-14,Seattle,3.6
2023-09-07,,20.8
2023-04-26,San Diego,7.3
2023-11-19,Austin,2.4
,,
2023-04-08,Phoenix,30.3
2023-05-13,San Diego,23.9
2023-05-01,New York,8.8
2023-09-07,Phoenix,25.9
2023-11-07,Phoenix,16.3
2023-10-05,Phoenix,
2023-11-06,Phoenix,11.5
2023-02-20,New York,39.6
2023-07-10,,18.3
2023-10-31,Phoenix,34.2
2023-11-19,San Diego,33.8
2023-08-06,Austin,27.5
2023-08-17,Phoenix,
2023-09-13,Austin,17.1
2023-09-17,Austin,19.3
2023-09-29,Phoenix,26.0
2023-01-29,Austin,17.4
2023-03-20,Austin,
2023-12-10,Phoenix,16.4
2023-10-08,Austin,12.1
2023-04-05,Seattle,34.0
2023-06-22,Austin,9.7
2023-02-11,Austin,5.2
2023-07-24,Phoenix,6.0
2023-12-16,San Diego,19.4
2023-02-01,New York,10.4
2023-04-24,Austin,39.8
2023-07-28,San Diego,20.2
2023-01-03,Austin,3.1
2023-10-03,San Diego,1.8
2023-08-16,New York,36.3
2023-05-31,New York,5.2
2023-10-16,San Diego,25.6
2023-08-04,,3.6
2023-08-10,San Diego,14.6
2023-07-09,San Diego,32.0
2023-10-15,New York,13.7
2023-05-19,Seattle,32.5
2023-02-05,Austin,
2023-07-12,Seattle,18.2
2023-08-16,Seattle,8.0
2023-09-29,Phoenix,13.4
2023-02-01,,20.7
2023-08-15,,36.6
2023-12-17,Austin,20.3
2023-09-26,San Diego,1.8
2023-05-09,San Diego,28.5
2023-04-26,New York,1.7
2023-08-12,,38.5
2023-12-25,San Diego,1.2
2023-12-02,New York,8.6
2023-08-08,Austin,26.4
2023-02-12,San Diego,30.6
2023-08-31,New York,16.3
2023-04-29,San Diego,
2023-07-29,Austin,
2023-06-18,New York,8.3
2023-05-13,Austin,38.0
2023-08-17,Seattle,11.1
2023-11-06,Phoenix,
2023-10-31,Phoenix,
2023-01-11,,27.6
2023-12-06,San Diego,2.7
2023-05-24,New York,39.8
2023-02-28,Seattle,6.9
2023-11-26,Phoenix,10.0
2023-06-12,Austin,19.4
2023-07-04,,5.9
2023-08-04,Seattle,7.9
2023-02-12,Austin,26.3
2023-05-18,,22.5
2023-10-09,Seattle,8.8
2023-04-17,Phoenix,
2023-05-30,Austin,22.1
2023-03-07,Phoenix,24.3
2023-04-02,New York,35.8
2023-11-23,San Diego,
2023-06-08,San Diego,0.8
2023-11-25,San Diego,6.7
,Seattle,3.7
2023-02-21,San Diego,30.1
2023-08-24,Phoenix,26.9
2023-09-21,New York,8.7
2023-05-05,San Diego,32.3
2023-12-11,,38.9
2023-12-26,San Diego,33.7
2023-08-23,New York,17.0
2023-04-30,Phoenix,24.7
2023-12-22,Austin,
2023-07-23,Seattle,12.6
,,1.6
2023-06-20,Seattle,22.1
2023-03-12,Phoenix,11.9
,Austin,13.2
2023-08-23,New York,26.2
2023-05-04,Austin,
2023-05-27,Phoenix,24.3
2023-02-05,Phoenix,3.7
2023-05-14,Seattle,10.1
2023-06-29,San Diego,33.6
2023-07-04,Phoenix,24.9
2023-09-25,New York,0.5
2023-07-19,San Diego,16.6
2023-04-26,San Diego,15.7
2023-03-25,New York,35.0
2023-10-02,Austin,11.4
2023-08-18,Austin,1.9
2023-03-02,New York,17.8
2023-09-25,New York,
2023-10-08,Seattle,0.8
2023-01-11,Seattle,26.9
2023-01-07,New York,7.8
2023-12-22,New York,39.0
2023-04-07,New York,32.1
2023-03-29,Austin,2.0
2023-10-16,Seattle,17.7
2023-06-23,New York,39.7
2023-12-05,New York,9.1
2023-08-28,San Diego,30.8
2023-04-26,New York,21.3
2023-10-04,Seattle,22.8
2023-12-10,Austin,20.3
2023-11-01,Seattle,4.1
2023-05-07,,15.3
2023-03-03,Phoenix,37.5
2023-11-11,Austin,39.2
2023-09-13,Austin,23.7
2023-12-03,Phoenix,30.8
2023-09-24,Phoenix,12.9
,Austin,33.3
2023-05-23,New York,
,San Diego,
2023-01-28,San Diego,31.3
2023-05-28,San Diego,21.6
2023-12-23,Phoenix,37.5
2023-04-30,San Diego,28.3
2023-05-09,Seattle,
2023-08-13,San Diego,16.3
2023-07-28,,11.0
2023-10-13,Seattle,
2023-02-12,New York,21.3
2023-07-10,Seattle,12.6
2023-10-13,Austin,11.8
2023-11-16,New York,11.2
2023-07-19,San Diego,25.7
,New York,3.5
2023-11-06,Seattle,20.5
2023-09-20,Austin,0.5
2023-07-19,Phoenix,9.2
2023-12-21,Austin,39.9
2023-12-19,Austin,9.0
2023-08-20,Phoenix,25.3
2023-03-01,Phoenix,27.8
2023-02-20,Phoenix,10.4
2023-09-02,Phoenix,19.8
2023-03-12,Seattle,23.6
2023-05-11,,
,New York,18.3
,,18.7
2023-05-05,Seattle,39.6
,,29.7
2023-04-15,Austin,22.3
2023-06-06,Seattle,10.7
2023-11-24,Phoenix,8.8
2023-07-10,Seattle,32.4
2023-07-26,Seattle,31.0
,Seattle,20.8
2023-08-06,San Diego,37.7
2023-12-20,New York,22.2
,Seattle,26.3
2023-05-21,San Diego,
2023-08-26,Seattle,39.0
2023-04-08,Seattle,37.4
2023-03-26,Phoenix,2.9
,Phoenix,23.4
,San Diego,
,Austin,16.9
2023-10-09,New York,1.9
2023-11-23,New York,27.3
2023-10-09,Austin,21.5
2023-08-21,Seattle,23.1
2023-05-31,Phoenix,10.7
2023-02-07,Austin,8.5
2023-09-03,New York,37.3
2023-07-28,,
2023-04-30,New York,16.2
2023-10-29,Phoenix,25.7
2023-07-01,New York,16.9
2023-07-19,New York,7.0
2023-05-31,San Diego,30.3
2023-05-28,Seattle,10.7
2023-11-06,San Diego,9.2
2023-03-14,San Diego,27.9
2023-12-02,Phoenix,8.5
2023-04-03,San Diego,32.3
2023-03-02,San Diego,21.2
2023-12-19,San Diego,31.6
,,25.9
,Seattle,31.2
2023-04-20,,6.7
2023-04-23,Seattle,19.1
2023-04-29,Seattle,15.2
2023-10-12,Austin,34.1
2023-06-18,San Diego,36.5
,New York,31.6
2023-12-08,Austin,11.8
2023-07-25,San Diego,0.2
2023-12-03,Seattle,11.5
2023-06-09,Seattle,8.6
2023-05-03,Austin,7.3
2023-12-08,San Diego,26.7
,,1.9
2023-10-19,New York,26.1
,,29.6
2023-08-14,Phoenix,19.5
2023-07-03,Austin,0.4
2023-02-24,,29.0
2023-10-22,Austin,21.9
2023-05-08,Austin,9.5
2023-06-24,,4.1
2023-04-02,,32.3
2023-01-05,New York,13.3
2023-12-25,Seattle,21.8
2023-10-31,Seattle,13.3
2023-12-20,Phoenix,32.9
2023-11-30,Seattle,1.7
2023-09-21,Austin,31.8
2023-10-21,Phoenix,11.4
2023-11-10,Seattle,15.0
2023-08-24,San Diego,33.8
2023-04-03,Seattle,10.5
2023-01-10,San Diego,39.0
,Seattle,30.1
,Seattle,18.0
2023-11-19,New York,13.9
2023-04-03,Austin,33.5
2023-06-20,Seattle,1.0
2023-04-27,New York,
2023-03-31,Austin,13.8
2023-07-27,Phoenix,13.0
2023-10-23,New York,19.5
2023-12-25,Austin,28.7
,San Diego,31.0
2023-04-20,Phoenix,22.9
,San Diego,33.3
,Austin,1.5
2023-11-27,Austin,19.6
2023-01-19,Seattle,11.3
2023-03-09,San Diego,1.0
2023-05-17,,11.8
2023-05-26,San Diego,19.8
2023-07-18,Austin,33.6
2023-03-23,New York,6.5
,,33.3
2023-11-16,Austin,33.7
2023-07-20,Seattle,24.4
2023-01-04,Austin,32.1
2023-08-14,Seattle,17.4
2023-08-15,New York,27.4
2023-04-01,New York,37.4
2023-05-23,Phoenix,14.0
2023-02-11,San Diego,2.0
2023-11-29,San Diego,7.9
2023-07-27,Seattle,3.2
,Phoenix,15.9
2023-10-17,,9.4
2023-12-26,Seattle,23.2
2023-07-04,Seattle,22.6
2023-10-12,Seattle,5.4
2023-07-11,,13.0
2023-02-16,San Diego,
2023-05-30,Austin,14.9
2023-02-15,New York,8.6
2023-09-05,,36.0
,Seattle,28.3
2023-06-18,New York,33.7
2023-01-27,Austin,22.6
2023-04-18,San Diego,30.0
2023-11-15,Phoenix,4.9
2023-05-03,Seattle,20.8
2023-04-02,Austin,6.9
2023-11-04,New York,10.6
2023-03-17,Phoenix,34.4
2023-08-30,San Diego,28.1
2023-08-20,Austin,2.9
,San Diego,26.3
2023-01-14,Austin,38.2
,New York,
2023-04-24,San Diego,30.1
2023-09-23,New York,29.3
2023-07-27,Austin,25.6
2023-10-28,Phoenix,11.2
2023-01-12,New York,
2023-01-09,Austin,17.6
2023-02-15,Austin,36.7
2023-01-15,Phoenix,32.4
2023-10-03,Phoenix,36.8
2023-12-12,,
2023-07-07,Phoenix,28.0
2023-02-13,New York,
2023-06-17,Austin,4.3
2023-11-12,Seattle,39.8
2023-03-24,New York,30.7
2023-08-07,Seattle,4.3
2023-10-20,New York,35.7
2023-11-17,Austin,0.5
2023-04-17,Seattle,17.7
2023-10-24,Austin,1.2
2023-05-08,Seattle,3.9
2023-09-19,New York,10.9
2023-12-04,San Diego,38.3
2023-02-02,Phoenix,10.0
2023-05-21,Austin,7.2
2023-10-09,Phoenix,15.9
2023-07-04,,
2023-12-23,,11.1
2023-03-29,San Diego,1.7
2023-03-05,Seattle,32.0
2023-10-13,San Diego,
,New York,12.0
2023-11-09,New York,16.7
2023-01-19,New York,38.8
2023-07-07,Austin,26.5
2023-03-11,Phoenix,21.8
2023-04-13,Seattle,27.2
2023-01-11,San Diego,2.1
2023-09-07,Austin,18.0
2023-02-21,New York,10.3
2023-02-25,Seattle,15.0
2023-07-09,Austin,25.0
2023-09-23,Phoenix,14.4
2023-03-26,Phoenix,21.2
2023-10-23,San Diego,37.6
,Seattle,27.5
2023-09-24,San Diego,
2023-04-16,Austin,10.0
2023-02-28,,32.6
2023-02-14,Austin,29.7
2023-08-06,Phoenix,20.6
2023-07-22,New York,18.1
2023-01-15,Seattle,
2023-09-13,New York,25.7
2023-03-09,San Diego,4.1
2023-08-18,San Diego,3.8
2023-04-11,Austin,
2023-07-20,Seattle,
2023-01-21,,16.8
2023-10-21,San Diego,15.1
2023-10-30,Austin,15.6
2023-04-18,San Diego,24.5
2023-11-30,Phoenix,9.2
2023-08-28,San Diego,14.3
2023-01-18,Seattle,33.0
2023-01-14,Austin,7.2
2023-08-07,Phoenix,29.7
2023-12-24,Austin,36.2
2023-06-18,Austin,13.6
2023-07-25,Seattle,10.1
2023-04-05,San Diego,38.3
2023-08-27,New York,0.8
2023-02-06,San Diego,27.2
2023-11-24,Phoenix,8.8
2023-03-19,New York,
2023-08-29,New York,29.3
2023-01-17,New York,34.8
2023-10-21,,
,Phoenix,29.3
2023-06-05,San Diego,21.5
2023-08-16,San Diego,20.1
2023-01-25,San Diego,4.8
2023-05-19,San Diego,37.2
2023-08-14,San Diego,32.0
2023-10-07,New York,25.3
2023-05-01,Seattle,18.3
2023-12-29,Austin,2.6
2023-09-25,Austin,23.4
2023-08-14,,11.4
2023-05-16,Austin,1.9
2023-12-22,Phoenix,20.9
2023-08-30,Seattle,38.2
2023-08-31,Austin,24.2
2023-12-18,,38.3
2023-06-27,San Diego,8.9
2023-09-20,San Diego,37.7
2023-07-04,Phoenix,
2023-01-16,Seattle,10.7
2023-02-02,San Diego,29.6
2023-05-16,Phoenix,
2023-09-11,New York,26.1
2023-01-13,Austin,
2023-02-24,,10.5
2023-07-24,Austin,8.5
2023-03-27,San Diego,18.3
2023-02-14,San Diego,28.8
2023-11-02,Seattle,39.0
,New York,32.4
2023-10-17,,
2023-10-26,,21.2
2023-11-29,Austin,22.8
2023-04-16,San Diego,31.2
2023-08-08,San Diego,14.9
2023-05-12,Phoenix,17.1
2023-02-17,Seattle,37.5
2023-01-19,Phoenix,18.8
2023-06-23,Phoenix,36.8
2023-04-30,Austin,36.9
2023-03-20,New York,30.4
2023-01-18,San Diego,21.5
2023-01-06,,38.7
2023-07-05,Phoenix,35.4
2023-01-15,Phoenix,1.0
,Austin,14.4
2023-05-28,Austin,25.2
2023-04-02,Austin,16.0
2023-11-20,New York,37.6
,Austin,18.0
2023-10-28,Seattle,39.3
2023-11-29,New York,2.3
2023-01-06,,15.2
2023-05-23,Seattle,10.4
2023-07-06,Austin,10.4
2023-01-08,Phoenix,5.8
2023-09-07,Austin,39.1
2023-06-12,Austin,33.6
2023-09-07,Austin,19.4
2023-07-28,Seattle,31.7
2023-12-24,San Diego,
2023-08-09,San Diego,34.2
2023-10-24,Seattle,31.0
2023-01-25,Seattle,
2023-03-14,New York,0.1
2023-01-30,San Diego,19.9
2023-08-20,,6.6
2023-02-23,,30.5
2023-07-09,San Diego,19.6
2023-08-20,New York,34.5
2023-07-29,San Diego,11.8
2023-04-23,Austin,2.7
2023-02-02,Austin,21.6
2023-03-06,Austin,17.9
2023-08-02,San Diego,21.2
2023-08-13,Seattle,0.8
,Seattle,12.8
2023-10-03,Austin,15.7
2023-09-08,Seattle,25.8
2023-04-15,San Diego,37.1
,Seattle,30.3
2023-01-15,Austin,32.8
2023-11-10,New York,1.0
,Phoenix,20.8
2023-10-28,Phoenix,20.3
,San Diego,0.9
2023-10-24,Phoenix,18.4
2023-09-01,Phoenix,24.2
2023-10-27,Austin,0.7
2023-04-02,San Diego,17.8
2023-11-01,Phoenix,35.8
,New York,20.3
2023-08-29,New York,26.8
2023-08-05,Austin,
2023-02-07,Seattle,10.4
2023-02-04,Seattle,27.1
2023-06-11,New York,18.0
2023-10-28,Seattle,35.6
2023-07-30,New York,36.3
2023-11-13,Phoenix,
2023-11-30,,15.2
2023-09-13,San Diego,5.8
2023-03-18,Seattle,9.5
2023-09-05,Austin,13.7
2023-07-28,,35.9
2023-09-23,Phoenix,19.3
2023-09-22,Phoenix,38.7
2023-05-08,San Diego,18.5
2023-04-16,,27.0
2023-03-15,San Diego,
2023-11-26,Seattle,20.5
2023-09-19,Seattle,11.6
2023-08-26,Phoenix,
2023-07-27,Austin,11.9
2023-06-14,,19.4
2023-09-22,New York,33.4
2023-02-16,,13.8
2023-10-07,San Diego,39.7
2023-03-28,San Diego,27.9
2023-04-06,New York,13.6
2023-04-14,Phoenix,
2023-03-01,Phoenix,29.4
2023-11-02,Austin,13.4
2023-05-11,Phoenix,14.3
2023-12-16,Austin,28.5
2023-07-29,Phoenix,38.8
2023-09-19,New York,8.3
2023-03-10,Phoenix,25.3
,Phoenix,12.3
2023-11-03,New York,29.9
2023-05-10,Seattle,30.3
,San Diego,29.8
2023-07-26,Austin,7.3
2023-02-15,Seattle,4.1
2023-12-16,New York,15.8
2023-05-30,Phoenix,0.7
2023-12-06,Austin,19.2
2023-01-30,Phoenix,19.5
2023-07-09,New York,10.7
2023-05-10,San Diego,13.5
2023-09-14,Seattle,20.6
2023-03-08,Seattle,5.9
2023-08-17,Austin,7.8
2023-10-07,San Diego,29.4
2023-06-18,Seattle,35.6
2023-11-10,Seattle,19.4
,,
2023-07-06,Seattle,19.8
2023-05-10,San Diego,9.8
2023-07-19,Austin,0.3
2023-07-19,Austin,19.2
2023-06-16,San Diego,13.4
2023-10-24,New York,15.1
2023-01-28,Phoenix,
2023-02-15,Austin,24.3
,Seattle,13.1
2023-04-10,Austin,33.3
,Austin,24.8
2023-10-22,San Diego,12.3
2023-11-18,Seattle,8.1
2023-08-02,Phoenix,6.4
2023-09-17,Austin,
2023-11-10,Seattle,8.2
2023-02-24,San Diego,2.2
2023-11-02,New York,34.0
2023-08-14,New York,
2023-05-15,Austin,15.8
2023-11-14,Phoenix,34.7
,New York,35.1
,Phoenix,
2023-04-07,Phoenix,
2023-10-19,New York,12.9
2023-10-08,San Diego,38.3
2023-05-03,Phoenix,14.7
2023-03-01,New York,18.0
2023-02-18,San Diego,4.3
2023-07-13,Phoenix,21.1
2023-10-29,Austin,
2023-08-10,Austin,29.2
2023-07-19,Seattle,18.2
2023-02-27,New York,
2023-03-16,Austin,27.8
2023-03-24,,31.7
2023-05-17,Austin,36.0
2023-05-21,Austin,1.6
2023-12-12,New York,
2023-08-27,Austin,29.5
2023-12-08,Phoenix,26.8
2023-05-05,Seattle,17.3
2023-01-07,Seattle,10.8
2023-03-02,Austin,18.9
2023-08-16,New York,22.6
2023-08-13,Seattle,
2023-02-20,,19.4
2023-06-29,New York,22.6
2023-08-27,New York,4.8
2023-08-27,New York,
2023-08-07,San Diego,22.3
2023-05-11,Austin,8.0
,,
,San Diego,1.3
,Seattle,27.2
2023-06-20,Seattle,28.0
,Austin,2.2
2023-06-14,Phoenix,9.3
2023-05-04,Seattle,3.6
,San Diego,38.7
2023-01-08,Austin,38.2
2023-07-05,Seattle,8.0
2023-01-13,New York,20.3
2023-09-14,New York,3.8
2023-03-02,Austin,25.7
2023-05-22,Phoenix,23.5
2023-04-15,San Diego,
2023-11-08,Phoenix,2.7
2023-10-29,Phoenix,2.6
2023-07-30,New York,19.8
2023-05-14,,
2023-07-04,,38.8
2023-04-25,Phoenix,
2023-04-06,,24.1
2023-06-13,,7.3
2023-03-28,Seattle,
2023-09-05,Phoenix,
2023-01-04,Phoenix,0.5
2023-11-11,Seattle,32.9
,San Diego,0.6
2023-12-22,New York,36.7
2023-06-06,,3.2
2023-12-14,Austin,10.7
2023-04-29,Phoenix,34.5
2023-04-20,Seattle,29.6
,Phoenix,23.8
2023-08-27,Seattle,15.0
2023-01-30,New York,6.6
2023-09-25,Phoenix,19.6
2023-03-20,Seattle,15.8
2023-08-11,,30.2
2023-01-26,Seattle,
,,25.3
2023-12-26,Phoenix,
2023-08-04,Austin,24.7
2023-08-08,Austin,32.1
2023-06-23,Austin,8.4
2023-07-19,Phoenix,22.4
2023-11-15,Phoenix,39.1
,San Diego,3.2
2023-07-29,Phoenix,9.8
2023-02-01,New York,25.0
2023-10-26,New York,37.6
2023-04-04,Phoenix,25.2
2023-04-23,Seattle,29.0
2023-11-18,Seattle,21.2
2023-10-06,Phoenix,7.1
2023-11-04,Phoenix,26.2
2023-10-29,San Diego,16.5
2023-03-09,Phoenix,
2023-01-23,Austin,14.2
2023-01-23,Austin,
2023-01-25,Austin,7.3
2023-01-16,New York,4.6
2023-12-16,New York,36.5
2023-04-27,Seattle,24.0
2023-10-21,New York,36.7
2023-11-21,Seattle,22.4
2023-02-04,San Diego,
,New York,39.2
2023-06-20,,37.6
2023-07-11,,39.9
2023-08-28,New York,29.7
2023-01-04,Austin,19.9
2023-02-12,Seattle,25.3
2023-06-26,San Diego,12.3
,Seattle,2.6
2023-01-25,Phoenix,23.2
2023-03-10,New York,0.7
2023-01-10,San Diego,25.3
2023-03-03,Austin,
2023-12-26,Phoenix,6.6
2023-07-27,New York,36.5
2023-11-30,San Diego,0.8
2023-06-10,Seattle,2.7
2023-05-09,New York,33.6
,San Diego,22.5
2023-06-02,New York,6.5
2023-11-14,Seattle,17.2
2023-02-24,Phoenix,9.2
2023-11-08,Austin,37.1
2023-11-26,San Diego,0.5
2023-01-14,Austin,15.8
2023-10-27,Austin,0.6
2023-03-23,San Diego,1.5
2023-06-11,Austin,3.8
2023-11-26,Seattle,4.6
2023-10-09,Austin,3.8
2023-04-26,Phoenix,
2023-10-11,Phoenix,18.2
2023-03-05,Austin,18.3
2023-06-24,New York,
2023-04-23,San Diego,29.9
2023-07-12,San Diego,18.8
2023-10-10,Austin,37.9
2023-07-17,Seattle,38.9
2023-02-01,San Diego,
2023-10-12,,6.6
2023-08-19,San Diego,
2023-05-22,Seattle,27.9
2023-11-25,San Diego,11.5
2023-07-16,New York,3.7
2023-04-05,Seattle,13.6
2023-07-17,,8.6
2023-11-13,San Diego,11.3
2023-01-11,Seattle,4.7
2023-09-26,San Diego,26.7
2023-09-07,Seattle,18.1
2023-06-10,Austin,19.0
2023-05-14,San Diego,35.9
,Seattle,14.2
2023-10-19,New York,14.6
2023-10-24,Phoenix,26.0
2023-04-14,Austin,37.8
2023-03-22,New York,33.3
2023-02-26,San Diego,6.3
2023-10-23,Phoenix,25.5
,Phoenix,8.7
2023-06-23,New York,2.1
2023-11-14,Seattle,
2023-11-30,San Diego,9.6
,Austin,32.6
,San Diego,35.1
2023-09-26,Seattle,29.8
2023-02-19,Seattle,4.3
2023-11-16,New York,12.0
2023-02-24,New York,8.7
2023-07-11,San Diego,8.6
2023-09-08,Phoenix,13.1
2023-01-12,Austin,36.5
2023-07-29,Seattle,31.9
2023-11-04,Seattle,5.7
,San Diego,11.0
2023-12-13,San Diego,13.6
2023-10-24,Austin,6.7
2023-03-13,New York,30.2
2023-07-21,New York,24.1
,Austin,10.7
2023-12-03,New York,1.6
2023-03-20,Austin,19.4
2023-02-15,San Diego,4.9
2023-11-26,New York,25.8
2023-08-17,New York,13.0
,San Diego,5.1
2023-11-08,Seattle,23.7
2023-07-15,New York,5.9
,New York,28.2
2023-09-30,New York,13.5
2023-06-06,Austin,9.8
2023-01-04,Phoenix,0.7
,New York,9.4
2023-07-15,Seattle,5.0
2023-06-20,Phoenix,18.2
2023-03-30,Seattle,4.3
2023-12-20,Austin,3.3
2023-11-10,San Diego,2.4
2023-11-20,San Diego,29.6
2023-04-15,Seattle,
2023-09-30,San Diego,3.7
2023-12-24,Phoenix,32.4
2023-06-05,Seattle,0.3
2023-08-18,New York,21.7
2023-06-07,New York,32.8
2023-05-06,New York,39.6
2023-06-25,Phoenix,33.9
2023-12-13,,18.7
2023-07-25,San Diego,2.4
2023-12-18,San Diego,29.1
2023-11-25,San Diego,0.3
2023-06-23,Austin,37.4
2023-02-21,Seattle,27.1
2023-09-03,San Diego,37.9
2023-05-02,San Diego,35.4
,Phoenix,27.8
2023-10-04,Seattle,
2023-11-08,Phoenix,19.7
2023-09-05,New York,35.1
2023-08-23,Phoenix,
,San Diego,37.3
2023-09-23,Austin,32.8
,,5.4
2023-07-25,New York,22.7
2023-04-23,San Diego,39.2
2023-01-31,Austin,35.4
2023-01-26,Seattle,30.2
2023-10-06,New York,0.8
,San Diego,7.7
2023-05-13,Seattle,28.8
2023-09-11,Phoenix,
2023-08-21,Seattle,24.2
,Seattle,20.3
2023-02-17,Austin,7.1
2023-04-27,Austin,9.2
2023-10-28,New York,17.0
2023-05-29,San Diego,31.6
2023-10-22,Austin,29.3
,Seattle,29.1
2023-10-25,San Diego,27.0
2023-12-19,San Diego,18.4
2023-05-03,New York,36.2
2023-09-11,Phoenix,15.2
2023-11-03,Phoenix,37.2
